origin,volumes_calibration
zone_bc_1,8446.0
zone_bc_10,2106.0
zone_bc_11,85303.0
zone_bc_13,136989.0
zone_bc_14,66466.0
zone_bc_15,1060.0
zone_bc_16,90955.0
zone_bc_17,2632.0
zone_bc_19,9314.0
zone_bc_20,24381.0
zone_bc_21,12141.0
zone_bc_23,69749.0
zone_bc_24,73604.0
zone_bc_26,136.0
zone_bc_28,4168.0
zone_bc_29,155.0
zone_bc_3,1170.0
zone_bc_31,1570.0
zone_bc_32,917.0
zone_bc_33,28835.0
zone_bc_34,309.0
zone_bc_37,3403.0
zone_bc_39,20861.0
zone_bc_4,4470.0
zone_bc_40,66.0
zone_bc_41,113.0
zone_bc_5,712.0
zone_bc_54,470.0
zone_bc_59,922.0
zone_bc_6,729.0
zone_bc_60,65.0
zone_bc_61,587.0
zone_bc_62,758.0
zone_bc_7,1061.0
zone_bc_8,1403.0
zone_bc_9,96184.0
