,origin,destination,volume_pt,volume_car,volume_walk,volumes_calibration
0,zone_bc_1,zone_bc_1,99.0,1092.0,0.0,1191.0
1,zone_bc_1,zone_bc_3,60.0,60.0,0.0,120.0
2,zone_bc_1,zone_bc_4,52.0,0.0,0.0,52.0
3,zone_bc_1,zone_bc_9,180.0,53.0,0.0,233.0
4,zone_bc_1,zone_bc_11,507.0,239.0,0.0,746.0
5,zone_bc_1,zone_bc_13,21.0,721.0,0.0,742.0
6,zone_bc_1,zone_bc_16,698.0,810.0,0.0,1508.0
7,zone_bc_1,zone_bc_20,78.0,184.0,0.0,262.0
8,zone_bc_1,zone_bc_23,259.0,53.0,0.0,312.0
9,zone_bc_1,zone_bc_33,76.0,128.0,0.0,204.0
10,zone_bc_1,zone_bc_39,1164.0,243.0,0.0,1407.0
11,zone_bc_3,zone_bc_1,50.0,0.0,0.0,50.0
12,zone_bc_3,zone_bc_9,104.0,0.0,0.0,104.0
13,zone_bc_3,zone_bc_16,76.0,0.0,0.0,76.0
14,zone_bc_3,zone_bc_39,836.0,14.0,0.0,850.0
15,zone_bc_4,zone_bc_1,695.0,0.0,0.0,695.0
16,zone_bc_4,zone_bc_4,235.0,0.0,0.0,235.0
17,zone_bc_4,zone_bc_9,667.0,0.0,0.0,667.0
18,zone_bc_4,zone_bc_16,180.0,402.0,0.0,582.0
19,zone_bc_4,zone_bc_21,627.0,0.0,0.0,627.0
20,zone_bc_4,zone_bc_33,132.0,241.0,0.0,373.0
21,zone_bc_4,zone_bc_39,895.0,139.0,0.0,1034.0
22,zone_bc_5,zone_bc_9,627.0,0.0,0.0,627.0
23,zone_bc_5,zone_bc_24,85.0,0.0,0.0,85.0
24,zone_bc_6,zone_bc_6,78.0,0.0,0.0,78.0
25,zone_bc_6,zone_bc_9,337.0,0.0,0.0,337.0
26,zone_bc_6,zone_bc_16,314.0,0.0,0.0,314.0
27,zone_bc_7,zone_bc_9,491.0,0.0,0.0,491.0
28,zone_bc_8,zone_bc_14,393.0,0.0,131.0,524.0
29,zone_bc_8,zone_bc_21,651.0,0.0,0.0,651.0
30,zone_bc_8,zone_bc_24,114.0,114.0,0.0,228.0
31,zone_bc_9,zone_bc_3,412.0,0.0,0.0,412.0
32,zone_bc_9,zone_bc_4,1596.0,35.0,0.0,1631.0
33,zone_bc_9,zone_bc_5,1470.0,627.0,0.0,2097.0
34,zone_bc_9,zone_bc_6,3389.0,0.0,0.0,3389.0
35,zone_bc_9,zone_bc_7,627.0,0.0,612.0,1239.0
36,zone_bc_9,zone_bc_9,20332.0,2776.0,4314.0,27422.0
37,zone_bc_9,zone_bc_10,78.0,90.0,339.0,507.0
38,zone_bc_9,zone_bc_11,12961.0,1857.0,825.0,15643.0
39,zone_bc_9,zone_bc_13,5075.0,1370.0,0.0,6445.0
40,zone_bc_9,zone_bc_14,4663.0,75.0,93.0,4831.0
41,zone_bc_9,zone_bc_16,5699.0,1831.0,76.0,7606.0
42,zone_bc_9,zone_bc_19,131.0,0.0,0.0,131.0
43,zone_bc_9,zone_bc_20,941.0,291.0,0.0,1232.0
44,zone_bc_9,zone_bc_23,1558.0,495.0,0.0,2053.0
45,zone_bc_9,zone_bc_24,1550.0,1102.0,105.0,2757.0
46,zone_bc_9,zone_bc_28,126.0,237.0,0.0,363.0
47,zone_bc_9,zone_bc_32,5243.0,0.0,0.0,5243.0
48,zone_bc_9,zone_bc_33,1562.0,571.0,362.0,2495.0
49,zone_bc_9,zone_bc_37,2507.0,650.0,0.0,3157.0
50,zone_bc_9,zone_bc_39,154.0,1790.0,0.0,1944.0
51,zone_bc_9,zone_bc_54,347.0,0.0,0.0,347.0
52,zone_bc_9,zone_bc_62,1176.0,0.0,0.0,1176.0
53,zone_bc_10,zone_bc_9,694.0,90.0,0.0,784.0
54,zone_bc_10,zone_bc_16,76.0,788.0,0.0,864.0
55,zone_bc_10,zone_bc_20,46.0,0.0,0.0,46.0
56,zone_bc_10,zone_bc_24,67.0,0.0,0.0,67.0
57,zone_bc_10,zone_bc_33,151.0,88.0,0.0,239.0
58,zone_bc_11,zone_bc_1,1299.0,4408.0,0.0,5707.0
59,zone_bc_11,zone_bc_3,21.0,0.0,0.0,21.0
60,zone_bc_11,zone_bc_4,799.0,0.0,0.0,799.0
61,zone_bc_11,zone_bc_6,346.0,0.0,0.0,346.0
62,zone_bc_11,zone_bc_8,491.0,1119.0,280.0,1890.0
63,zone_bc_11,zone_bc_9,6012.0,1333.0,1019.0,8364.0
64,zone_bc_11,zone_bc_10,139.0,0.0,1047.0,1186.0
65,zone_bc_11,zone_bc_11,3716.0,1235.0,14022.0,18973.0
66,zone_bc_11,zone_bc_13,13280.0,1359.0,0.0,14639.0
67,zone_bc_11,zone_bc_14,2395.0,52.0,0.0,2447.0
68,zone_bc_11,zone_bc_16,5378.0,6347.0,458.0,12183.0
69,zone_bc_11,zone_bc_19,1545.0,0.0,0.0,1545.0
70,zone_bc_11,zone_bc_20,1104.0,0.0,0.0,1104.0
71,zone_bc_11,zone_bc_21,843.0,0.0,88.0,931.0
72,zone_bc_11,zone_bc_23,85.0,142.0,0.0,227.0
73,zone_bc_11,zone_bc_24,1665.0,1215.0,0.0,2880.0
74,zone_bc_11,zone_bc_31,627.0,200.0,0.0,827.0
75,zone_bc_11,zone_bc_33,1893.0,790.0,140.0,2823.0
76,zone_bc_11,zone_bc_37,104.0,627.0,0.0,731.0
77,zone_bc_11,zone_bc_39,872.0,291.0,0.0,1163.0
78,zone_bc_11,zone_bc_52,492.0,0.0,0.0,492.0
79,zone_bc_11,zone_bc_54,492.0,0.0,0.0,492.0
80,zone_bc_11,zone_bc_62,222.0,0.0,0.0,222.0
81,zone_bc_13,zone_bc_1,9375.0,2465.0,0.0,11840.0
82,zone_bc_13,zone_bc_4,263.0,65.0,0.0,328.0
83,zone_bc_13,zone_bc_5,521.0,0.0,0.0,521.0
84,zone_bc_13,zone_bc_6,502.0,0.0,0.0,502.0
85,zone_bc_13,zone_bc_8,968.0,0.0,0.0,968.0
86,zone_bc_13,zone_bc_9,6792.0,842.0,0.0,7634.0
87,zone_bc_13,zone_bc_11,14955.0,1585.0,0.0,16540.0
88,zone_bc_13,zone_bc_13,21009.0,4089.0,20192.0,45290.0
89,zone_bc_13,zone_bc_14,2568.0,563.0,2867.0,5998.0
90,zone_bc_13,zone_bc_16,8772.0,7081.0,810.0,16663.0
91,zone_bc_13,zone_bc_17,85.0,0.0,0.0,85.0
92,zone_bc_13,zone_bc_19,2036.0,397.0,83.0,2516.0
93,zone_bc_13,zone_bc_20,1057.0,0.0,1620.0,2677.0
94,zone_bc_13,zone_bc_21,1549.0,0.0,0.0,1549.0
95,zone_bc_13,zone_bc_23,3314.0,1387.0,105.0,4806.0
96,zone_bc_13,zone_bc_24,6651.0,1295.0,58.0,8004.0
97,zone_bc_13,zone_bc_33,863.0,1840.0,198.0,2901.0
98,zone_bc_13,zone_bc_37,283.0,0.0,0.0,283.0
99,zone_bc_13,zone_bc_39,3073.0,148.0,0.0,3221.0
100,zone_bc_13,zone_bc_46,159.0,159.0,0.0,318.0
101,zone_bc_14,zone_bc_1,1556.0,1689.0,0.0,3245.0
102,zone_bc_14,zone_bc_6,269.0,0.0,0.0,269.0
103,zone_bc_14,zone_bc_8,858.0,0.0,182.0,1040.0
104,zone_bc_14,zone_bc_9,6607.0,471.0,0.0,7078.0
105,zone_bc_14,zone_bc_11,5082.0,643.0,821.0,6546.0
106,zone_bc_14,zone_bc_13,8710.0,696.0,1650.0,11056.0
