origin,destination,volume
1,1,1092.0
1,3,60.0
1,9,53.0
1,11,239.0
1,13,721.0
1,16,810.0
1,17,88.0
1,20,184.0
1,23,53.0
1,33,128.0
1,37,1581.0
1,39,243.0
3,28,90.0
3,39,14.0
4,15,45.0
4,16,402.0
4,20,122.0
4,23,90.0
4,33,241.0
4,39,139.0
7,13,139.0
8,24,114.0
9,1,1706.0
9,4,35.0
9,5,627.0
9,9,2776.0
9,10,90.0
9,11,1857.0
9,13,1370.0
9,14,75.0
9,16,1831.0
9,17,90.0
9,20,291.0
9,23,495.0
9,24,1102.0
9,28,237.0
9,31,843.0
9,33,571.0
9,37,650.0
9,38,1176.0
9,39,1790.0
9,52,249.0
10,9,90.0
10,13,106.0
10,16,788.0
10,33,88.0
11,1,4408.0
11,5,66.0
11,8,1119.0
11,9,1333.0
11,11,1235.0
11,13,1359.0
11,14,52.0
11,16,6347.0
11,23,142.0
11,24,1215.0
11,28,827.0
11,31,200.0
11,32,842.0
11,33,790.0
11,34,1684.0
11,37,627.0
11,39,291.0
11,59,843.0
13,1,2465.0
13,3,60.0
13,4,65.0
13,7,139.0
13,9,842.0
13,11,1585.0
13,13,4089.0
13,14,563.0
13,15,1221.0
13,16,7081.0
13,19,397.0
13,23,1387.0
13,24,1295.0
13,28,458.0
13,31,639.0
13,32,495.0
13,33,1840.0
13,39,148.0
13,46,159.0
13,52,1303.0
13,60,30.0
14,1,1689.0
14,9,471.0
14,10,106.0
14,11,643.0
14,13,696.0
14,14,732.0
14,16,658.0
14,17,43.0
14,19,66.0
14,20,98.0
14,21,380.0
14,23,21.0
14,39,436.0
15,11,45.0
15,13,651.0
16,1,1571.0
16,4,515.0
16,7,347.0
16,9,2886.0
16,10,819.0
16,11,1963.0
16,13,5074.0
16,14,407.0
16,15,124.0
16,16,4395.0
16,17,179.0
16,20,940.0
16,23,1033.0
16,24,312.0
16,28,152.0
16,31,174.0
16,32,76.0
16,33,2459.0
16,34,102.0
16,37,312.0
16,39,202.0
16,52,247.0
16,59,408.0
16,60,65.0
16,61,113.0
16,62,127.0
17,1,88.0
17,9,90.0
17,14,43.0
17,16,193.0
17,33,266.0
19,1,47.0
19,4,27.0
19,5,142.0
19,9,148.0
19,11,66.0
19,13,689.0
19,16,228.0
19,24,238.0
19,26,51.0
20,1,77.0
20,9,270.0
20,16,454.0
20,20,259.0
20,23,937.0
20,24,78.0
20,32,1303.0
20,33,207.0
20,39,355.0
21,1,309.0
21,13,242.0
21,14,380.0
21,16,88.0
21,28,651.0
21,32,968.0
23,1,3491.0
23,2,135.0
23,4,122.0
23,8,502.0
23,9,1638.0
23,11,1195.0
23,13,1324.0
23,16,1696.0
23,20,884.0
23,23,254.0
23,24,480.0
23,28,122.0
23,31,1056.0
23,37,392.0
23,39,344.0
23,49,279.0
23,62,19.0
24,1,1601.0
24,8,114.0
24,9,217.0
24,11,488.0
24,13,2563.0
24,16,752.0
24,19,541.0
24,20,147.0
24,23,254.0
24,24,595.0
24,26,159.0
24,31,1976.0
24,33,174.0
24,37,70.0
24,39,95.0
24,59,228.0
26,19,51.0
26,24,85.0
28,3,14.0
28,9,1213.0
28,13,174.0
28,14,34.0
28,16,152.0
28,21,1031.0
28,23,37.0
29,31,155.0
31,13,484.0
31,16,117.0
31,24,169.0
31,31,65.0
31,33,76.0
33,1,291.0
33,7,113.0
33,9,728.0
33,10,88.0
33,11,1273.0
33,13,1739.0
33,14,269.0
33,16,1420.0
33,17,150.0
33,20,584.0
33,23,226.0
33,24,240.0
33,26,627.0
33,31,95.0
33,32,48.0
33,33,326.0
33,37,172.0
33,61,1482.0
33,62,168.0
34,9,78.0
34,16,102.0
37,9,704.0
37,11,37.0
37,16,65.0
37,33,237.0
37,39,38.0
39,1,219.0
39,3,29.0
39,4,124.0
39,9,196.0
39,11,311.0
39,13,69.0
39,14,474.0
39,16,165.0
39,17,35.0
39,20,164.0
39,23,195.0
39,24,95.0
39,33,36.0
39,37,60.0
39,39,60.0
59,16,692.0
60,16,65.0
61,31,181.0
62,23,19.0
62,33,36.0
