origin,destination,volume_walk
7,16,431.0
8,14,131.0
9,7,612.0
9,9,4314.0
9,10,339.0
9,11,825.0
9,14,93.0
9,16,76.0
9,24,105.0
9,33,362.0
11,8,280.0
11,9,1019.0
11,10,1047.0
11,11,14022.0
11,16,458.0
11,21,88.0
11,33,140.0
11,49,1049.0
13,13,20192.0
13,14,2867.0
13,16,810.0
13,19,83.0
13,20,1620.0
13,23,105.0
13,24,58.0
13,33,198.0
14,8,182.0
14,11,821.0
14,13,1650.0
14,14,16015.0
14,16,185.0
16,11,547.0
16,13,4673.0
16,15,526.0
16,16,15110.0
16,17,242.0
16,20,56.0
16,23,141.0
16,31,391.0
16,33,2004.0
16,39,133.0
17,16,255.0
17,23,78.0
17,33,243.0
17,34,53.0
19,4,177.0
19,9,58.0
19,19,610.0
19,24,248.0
20,13,939.0
20,16,90.0
20,23,163.0
21,13,472.0
21,16,602.0
23,11,53.0
23,13,1194.0
23,14,242.0
23,16,88.0
23,17,78.0
23,20,270.0
23,23,12357.0
24,1,283.0
24,9,105.0
24,11,415.0
24,13,1915.0
24,14,493.0
24,16,258.0
24,19,989.0
24,20,308.0
24,23,116.0
24,24,16363.0
24,26,165.0
24,33,165.0
24,40,155.0
24,41,88.0
33,11,598.0
33,13,380.0
33,16,3220.0
33,17,374.0
33,33,1559.0
33,37,33.0
34,17,53.0
39,1,60.0
39,3,14.0
39,16,52.0
39,39,5297.0
