,origin,destination,car_owner
0,zone_0,zone_0,0.0
1,zone_0,zone_1,0.0
2,zone_0,zone_10,0.0
3,zone_0,zone_13,0.0
4,zone_0,zone_15,0.0
5,zone_0,zone_17,0.0
6,zone_0,zone_19,0.0
7,zone_0,zone_21,0.0
8,zone_0,zone_24,0.0
9,zone_0,zone_29,0.0
10,zone_0,zone_3,0.0
11,zone_0,zone_35,0.0
12,zone_0,zone_37,0.0
13,zone_0,zone_38,0.0
14,zone_0,zone_4,0.0
15,zone_0,zone_41,0.0
16,zone_0,zone_42,0.0
17,zone_0,zone_43,0.0
18,zone_0,zone_44,0.0
19,zone_0,zone_45,0.0
20,zone_0,zone_46,0.0
21,zone_0,zone_47,0.0
22,zone_0,zone_48,0.0
23,zone_0,zone_49,0.0
24,zone_0,zone_50,0.0
25,zone_0,zone_56,0.0
26,zone_0,zone_6,0.0
27,zone_0,zone_7,0.0
28,zone_0,zone_9,0.0
29,zone_1,zone_0,0.0
30,zone_1,zone_1,0.0
31,zone_1,zone_12,0.0
32,zone_1,zone_13,0.0
33,zone_1,zone_16,0.0
34,zone_1,zone_19,0.0
35,zone_1,zone_20,0.0
36,zone_1,zone_21,0.0
37,zone_1,zone_22,0.0
38,zone_1,zone_24,0.0
39,zone_1,zone_25,0.0
40,zone_1,zone_29,0.0
41,zone_1,zone_3,0.0
42,zone_1,zone_30,0.0
43,zone_1,zone_31,0.0
44,zone_1,zone_35,0.0
45,zone_1,zone_36,0.0
46,zone_1,zone_37,0.0
47,zone_1,zone_38,0.0
48,zone_1,zone_42,0.0
49,zone_1,zone_43,0.0
50,zone_1,zone_44,0.0
51,zone_1,zone_46,0.0
52,zone_1,zone_47,0.0
53,zone_1,zone_48,0.0
54,zone_1,zone_49,0.0
55,zone_1,zone_50,0.0
56,zone_1,zone_51,0.0
57,zone_1,zone_53,0.0
58,zone_1,zone_54,0.0
59,zone_1,zone_55,0.0
60,zone_1,zone_56,0.0
61,zone_1,zone_57,0.0
62,zone_1,zone_6,0.0
63,zone_1,zone_7,0.0
64,zone_1,zone_9,0.0
65,zone_10,zone_1,0.0
66,zone_10,zone_10,0.0
67,zone_10,zone_12,0.0
68,zone_10,zone_13,0.0
69,zone_10,zone_22,0.0
70,zone_10,zone_28,0.0
71,zone_10,zone_30,0.0
72,zone_10,zone_33,0.0
73,zone_10,zone_35,0.0
74,zone_10,zone_36,0.0
75,zone_10,zone_38,0.0
76,zone_10,zone_39,0.0
77,zone_10,zone_4,0.0
78,zone_10,zone_40,0.0
79,zone_10,zone_43,0.0
80,zone_10,zone_44,0.0
81,zone_10,zone_46,0.0
82,zone_10,zone_5,0.0
83,zone_10,zone_52,0.0
84,zone_10,zone_55,0.0
85,zone_10,zone_6,0.0
86,zone_10,zone_7,0.0
87,zone_11,zone_11,0.0
88,zone_11,zone_13,0.0
