,emission_calibration
zone_0,4168.0
zone_1,90955.0
zone_10,66.0
zone_11,0.0
zone_12,0.0
zone_13,1570.0
zone_14,0.0
zone_15,0.0
zone_16,0.0
zone_17,0.0
zone_18,0.0
zone_19,470.0
zone_2,0.0
zone_20,4470.0
zone_21,0.0
zone_22,24381.0
zone_23,0.0
zone_24,1060.0
zone_25,0.0
zone_26,0.0
zone_27,0.0
zone_28,0.0
zone_29,0.0
zone_3,2106.0
zone_30,85303.0
zone_31,0.0
zone_32,917.0
zone_33,0.0
zone_34,0.0
zone_35,73604.0
zone_36,8446.0
zone_37,2632.0
zone_38,113.0
zone_39,0.0
zone_4,0.0
zone_40,0.0
zone_41,0.0
zone_42,28835.0
zone_43,66466.0
zone_44,69749.0
zone_45,0.0
zone_46,0.0
zone_47,12141.0
zone_48,136.0
zone_49,3403.0
zone_5,0.0
zone_50,309.0
zone_51,1061.0
zone_52,9314.0
zone_53,96184.0
zone_54,712.0
zone_55,20861.0
zone_56,136989.0
zone_57,1403.0
zone_6,1170.0
zone_7,155.0
zone_8,0.0
zone_9,729.0
