,emission,attraction,emission_calibration,attraction_calibration,correction_production,correction_attraction
zone_0,60736.14151315789,60736.14151315789,4168.0,4517.0,-56568.14151315789,-56219.14151315789
zone_1,36728.61748026316,36728.61748026316,90955.0,105390.0,54226.38251973684,68661.38251973684
zone_10,30074.990483552632,30074.990483552632,66.0,155.0,-30008.990483552632,-29919.990483552632
zone_11,45847.203499999996,45847.203499999996,,,0.0,0.0
zone_12,14859.555450657896,14859.555450657896,,,0.0,0.0
zone_13,71186.80264144737,71186.80264144737,1570.0,7761.0,-69616.80264144737,-63425.80264144737
zone_14,0.0,0.0,,,0.0,0.0
zone_15,30365.2696875,30365.2696875,,,0.0,0.0
zone_16,2441.834095394738,2441.834095394738,,,0.0,0.0
zone_17,38211.1625,38211.1625,,,0.0,0.0
zone_18,0.0,0.0,,,0.0,0.0
zone_19,59404.50857894737,59404.50857894737,470.0,1210.0,-58934.50857894737,-58194.50857894737
zone_2,2474.5905,2474.5905,,,0.0,0.0
zone_20,30378.96383881579,30378.96383881579,4470.0,5105.0,-25908.96383881579,-25273.96383881579
zone_21,22260.83742763158,22260.83742763158,,,0.0,0.0
zone_22,11330.626911184212,11330.626911184212,24381.0,28287.0,13050.373088815788,16956.373088815788
zone_23,1311.0875,1311.0875,,,0.0,0.0
zone_24,7887.71227997076,7887.71227997076,1060.0,2397.0,-6827.71227997076,-5490.71227997076
zone_25,20687.3825,20687.3825,,,0.0,0.0
zone_26,3865.76975,3865.76975,,,0.0,0.0
zone_27,0.0,0.0,,,0.0,0.0
zone_28,1137.4897269736841,1137.4897269736841,,,0.0,0.0
zone_29,39256.75349342105,39256.75349342105,,,0.0,0.0
zone_3,26010.11520394737,26010.11520394737,2106.0,2901.0,-23904.11520394737,-23109.11520394737
zone_30,11794.169473684211,11794.169473684211,85303.0,79671.0,73508.83052631578,67876.83052631578
zone_31,58704.77278947368,58704.77278947368,,1509.0,0.0,-57195.77278947368
zone_32,10669.579506578948,10669.579506578948,917.0,9847.0,-9752.579506578948,-822.579506578948
zone_33,12941.1398125,12941.1398125,,,0.0,0.0
zone_34,0.0,0.0,,,0.0,0.0
zone_35,57743.935851973685,57743.935851973685,73604.0,48275.0,15860.064148026315,-9468.935851973685
zone_36,26265.50595285088,26265.50595285088,8446.0,41138.0,-17819.50595285088,14872.49404714912
zone_37,37840.46067763158,37840.46067763158,2632.0,2518.0,-35208.46067763158,-35322.46067763158
zone_38,21770.28992763158,21770.28992763158,113.0,201.0,-21657.28992763158,-21569.28992763158
zone_39,18541.621000000003,18541.621000000003,,,0.0,0.0
zone_4,33090.1804375,33090.1804375,,2460.0,0.0,-30630.1804375
zone_40,6083.769249999999,6083.769249999999,,318.0,0.0,-5765.769249999999
zone_41,16810.532578947368,16810.532578947368,,,0.0,0.0
zone_42,11294.078368421053,11294.078368421053,28835.0,22239.0,17540.921631578945,10944.921631578947
zone_43,28909.256700657897,28909.256700657897,66466.0,47830.0,37556.7432993421,18920.743299342103
zone_44,25705.85139473684,25705.85139473684,69749.0,43175.0,44043.14860526316,17469.14860526316
zone_45,6905.5289999999995,6905.5289999999995,,1290.0,0.0,-5615.5289999999995
zone_46,28138.722357821636,28138.722357821636,,135.0,0.0,-28003.722357821636
zone_47,23833.115263157895,23833.115263157895,12141.0,6502.0,-11692.115263157895,-17331.115263157895
zone_48,25462.749519736844,25462.749519736844,136.0,1134.0,-25326.749519736844,-24328.749519736844
zone_49,16612.931006213454,16612.931006213454,3403.0,9910.0,-13209.931006213454,-6702.931006213454
zone_5,57027.6735,57027.6735,,,0.0,0.0
zone_50,6502.281812500001,6502.281812500001,309.0,3721.0,-6193.281812500001,-2781.2818125000013
zone_51,22697.56355263158,22697.56355263158,1061.0,1838.0,-21636.56355263158,-20859.56355263158
zone_52,7676.5391875,7676.5391875,9314.0,11750.0,1637.4608125000004,4073.4608125000004
zone_53,13550.016888157896,13550.016888157896,96184.0,72056.0,82633.9831118421,58505.983111842106
zone_54,27037.177569078947,27037.177569078947,712.0,3287.0,-26325.177569078947,-23750.177569078947
zone_55,24413.38239473684,24413.38239473684,20861.0,22681.0,-3552.38239473684,-1732.38239473684
zone_56,11157.26975,11157.26975,136989.0,141316.0,125831.73025,130158.73025
zone_57,4573.780713815791,4573.780713815791,1403.0,5948.0,-3170.7807138157914,1374.2192861842086
zone_6,13711.293497441518,13711.293497441518,1170.0,2357.0,-12541.293497441518,-11354.293497441518
zone_7,29783.405434210526,29783.405434210526,155.0,,-29628.405434210526,0.0
zone_8,4218.911,4218.911,,,0.0,0.0
zone_9,55890.89236842105,55890.89236842105,729.0,5187.0,-55161.89236842105,-50703.89236842105
