index,correction_emission,correction_attraction
zone_bc_1,-4775.5430000000015,24505.583988224418
zone_bc_8,-465.7389999999998,1623.318750248559
zone_bc_4,-13499.913,-7537.314719779924
zone_bc_49,0.0,-21944.602724663277
zone_bc_51,0.0,0.0
zone_bc_53,0.0,0.0
zone_bc_33,24035.130801143518,13381.03121945731
zone_bc_14,51918.126000000004,29856.958100342912
zone_bc_26,-14722.419999999998,-10709.913108553581
zone_bc_24,45099.857,10300.992440106624
zone_bc_18,0.0,0.0
zone_bc_39,5131.976999999995,20209.70635465876
zone_bc_42,0.0,0.0
zone_bc_45,0.0,0.0
zone_bc_57,0.0,0.0
zone_bc_56,0.0,0.0
zone_bc_58,0.0,0.0
zone_bc_34,-2136.2859999999996,-3233.8501732807135
zone_bc_35,0.0,0.0
zone_bc_36,0.0,0.0
zone_bc_37,-2406.2830000000013,-5853.151030007068
zone_bc_38,0.0,-5751.845653309714
zone_bc_9,89250.004,63838.86519129464
zone_bc_10,-12457.002000000004,-8584.133935861519
zone_bc_11,80141.447,68941.51216488902
zone_bc_5,-14079.275,-12280.977397103037
zone_bc_6,-34745.64499999999,-6831.737237506444
zone_bc_7,-13011.541000000001,-5084.960576857988
zone_bc_50,0.0,0.0
zone_bc_52,0.0,-9797.750705056113
zone_bc_2,0.0,-9521.686485815426
zone_bc_3,-4730.359999999999,-10969.133637510662
zone_bc_40,-18529.18700000002,-8109.590396174039
zone_bc_19,5071.884,8231.529840200941
zone_bc_20,19663.59,19245.564980574163
zone_bc_21,-2016.5240000000013,-1985.0094724391365
zone_bc_27,0.0,0.0
zone_bc_28,-32777.91400000002,-21374.506184050984
zone_bc_29,-16832.510000000002,0.0
zone_bc_30,0.0,0.0
zone_bc_31,-36592.202000000005,-50850.99202523412
zone_bc_32,-4569.504000000002,2051.918757423019
zone_bc_54,-36351.526000000005,-17552.993016227065
zone_bc_55,0.0,0.0
zone_bc_25,0.0,0.0
zone_bc_43,0.0,0.0
zone_bc_44,0.0,0.0
zone_bc_46,0.0,-24583.80530997354
zone_bc_47,0.0,0.0
zone_bc_48,0.0,0.0
zone_bc_41,-12203.619000000004,-10515.29178272544
zone_bc_22,0.0,0.0
zone_bc_23,55031.569,32659.318351761678
zone_bc_12,0.0,0.0
zone_bc_13,134346.135,126879.8316068214
zone_bc_15,-1672.4289999999992,-5876.909695331347
zone_bc_16,79572.436,46737.01340579032
zone_bc_17,-17265.95299999999,-19884.165128344855
