,origin,destination,volume_car,volume_pt,volume_walk,volumes_calibration
0,zone_bc_1,zone_bc_1,1092.0,99.0,0.0,1191.0
1,zone_bc_1,zone_bc_3,60.0,60.0,0.0,120.0
2,zone_bc_1,zone_bc_9,53.0,180.0,0.0,233.0
3,zone_bc_1,zone_bc_11,239.0,507.0,0.0,746.0
4,zone_bc_1,zone_bc_13,721.0,21.0,0.0,742.0
5,zone_bc_1,zone_bc_16,810.0,698.0,0.0,1508.0
6,zone_bc_1,zone_bc_20,184.0,78.0,0.0,262.0
7,zone_bc_1,zone_bc_23,53.0,259.0,0.0,312.0
8,zone_bc_1,zone_bc_33,128.0,76.0,0.0,204.0
9,zone_bc_1,zone_bc_39,243.0,1164.0,0.0,1407.0
10,zone_bc_3,zone_bc_39,14.0,836.0,0.0,850.0
11,zone_bc_4,zone_bc_16,402.0,180.0,0.0,582.0
12,zone_bc_4,zone_bc_33,241.0,132.0,0.0,373.0
13,zone_bc_4,zone_bc_39,139.0,895.0,0.0,1034.0
14,zone_bc_8,zone_bc_24,114.0,114.0,0.0,228.0
15,zone_bc_9,zone_bc_4,35.0,1596.0,0.0,1631.0
16,zone_bc_9,zone_bc_5,627.0,1470.0,0.0,2097.0
17,zone_bc_9,zone_bc_9,2776.0,20332.0,4314.0,27422.0
18,zone_bc_9,zone_bc_10,90.0,78.0,339.0,507.0
19,zone_bc_9,zone_bc_11,1857.0,12961.0,825.0,15643.0
20,zone_bc_9,zone_bc_13,1370.0,5075.0,0.0,6445.0
21,zone_bc_9,zone_bc_14,75.0,4663.0,93.0,4831.0
22,zone_bc_9,zone_bc_16,1831.0,5699.0,76.0,7606.0
23,zone_bc_9,zone_bc_20,291.0,941.0,0.0,1232.0
24,zone_bc_9,zone_bc_23,495.0,1558.0,0.0,2053.0
25,zone_bc_9,zone_bc_24,1102.0,1550.0,105.0,2757.0
26,zone_bc_9,zone_bc_28,237.0,126.0,0.0,363.0
27,zone_bc_9,zone_bc_33,571.0,1562.0,362.0,2495.0
28,zone_bc_9,zone_bc_37,650.0,2507.0,0.0,3157.0
29,zone_bc_9,zone_bc_39,1790.0,154.0,0.0,1944.0
30,zone_bc_10,zone_bc_9,90.0,694.0,0.0,784.0
31,zone_bc_10,zone_bc_16,788.0,76.0,0.0,864.0
32,zone_bc_10,zone_bc_33,88.0,151.0,0.0,239.0
33,zone_bc_11,zone_bc_1,4408.0,1299.0,0.0,5707.0
34,zone_bc_11,zone_bc_8,1119.0,491.0,280.0,1890.0
35,zone_bc_11,zone_bc_9,1333.0,6012.0,1019.0,8364.0
36,zone_bc_11,zone_bc_11,1235.0,3716.0,14022.0,18973.0
37,zone_bc_11,zone_bc_13,1359.0,13280.0,0.0,14639.0
38,zone_bc_11,zone_bc_14,52.0,2395.0,0.0,2447.0
39,zone_bc_11,zone_bc_16,6347.0,5378.0,458.0,12183.0
40,zone_bc_11,zone_bc_23,142.0,85.0,0.0,227.0
41,zone_bc_11,zone_bc_24,1215.0,1665.0,0.0,2880.0
42,zone_bc_11,zone_bc_31,200.0,627.0,0.0,827.0
43,zone_bc_11,zone_bc_33,790.0,1893.0,140.0,2823.0
44,zone_bc_11,zone_bc_37,627.0,104.0,0.0,731.0
45,zone_bc_11,zone_bc_39,291.0,872.0,0.0,1163.0
46,zone_bc_13,zone_bc_1,2465.0,9375.0,0.0,11840.0
47,zone_bc_13,zone_bc_4,65.0,263.0,0.0,328.0
48,zone_bc_13,zone_bc_9,842.0,6792.0,0.0,7634.0
