route_id,catchment,frequency (veh/hours),fleet,length (m),num station,veh.km/h,round trip time (s)
EDA5,12083.06,6.0,3.0,9043,40,57.6,1630
EDA4,32273.57,6.0,6.0,18038,56,111.6,3249
EDA3,28315.6,6.0,6.0,16900,59,104.4,3041
EDA2,36074.89,6.0,5.0,16645,92,100.8,2996
EDA1,18614.68,6.0,4.0,12706,35,79.2,2284
R20,12789.23,12.0,8.0,13208,35,162.0,2377
R19,22431.9,12.0,5.0,6885,28,82.8,1238
R17,4924.0,12.0,4.0,5622,13,68.4,1012
R16,9802.5,12.0,7.0,11131,34,136.8,2006
R15,18618.13,12.0,9.0,13895,39,169.2,2497
R13,8385.71,12.0,3.0,4847,15,61.2,871
R12,12266.56,12.0,6.0,8613,22,104.4,1550
R11,30132.76,12.0,9.0,14913,66,180.0,2684
R10,12648.23,12.0,3.0,4832,18,61.2,870
R09,16630.14,12.0,7.0,10152,35,122.4,1825
R07,11274.35,6.0,3.0,8954,28,54.0,1612
R06,6655.14,12.0,2.0,3109,15,39.6,560
Route 3,32543.07,12.0,8.0,11774,126,144.0,2116
R04,10710.68,12.0,3.0,3557,18,43.2,640
